FID,KECAMATAN,POP,KPDTN,TGG_MDPL,SK_TOT,KELAS,SK_TOT_FIL,KL_FIL,SK_IND,KL_IND,SK_INDFIL,KL_INDFIL,REKLAS_KLFIL,REKLAS_KL,REKLAS_IND,REKLAS_INDFIL,JML_RESP,GP_PCT,PS_PCT,AB_PCT,LAIN_PCT,NA_PCT,PDIP_PCTL,GE_PCTL,DEM_PCTL,GK_PCTL,PAN_PCTL,PRD_PCTL,ND_PCTL,MAX_PRES,MAX_LEG,KL_MAXPRES,KL_MAXLEG,GP_PCT1,PS_PCT1,AB_PCT1,LAIN_PCT1,NA_PCT1,PDIP_PCTL1,GE_PCTL1,DEM_PCTL1,GK_PCTL1,PAN_PCTL1,PRD_PCTL1,ND_PCTL1,MAXPRES_FIL,MAXLEG_FIL,KLPRES_FIL,KLLEG_FIL
1,Bagelen,31472,9019.3,24,23.75,Sedang,24.25,Sedang,5.61,Tinggi,5.875,Tinggi,Sedang,Sedang,Rendah,Rendah,28,57.14,17.86,3.57,3.57,17.86,32.143,7.143,25,3.571,3.571,14.286,0,57.14,32.143,GP,PDIP,58.33333333,12.5,4.166666667,4.166666667,20.83333333,33.33333333,8.333333333,20.83333333,4.166666667,4.166666667,12.5,0,58.33333333,33.33333333,GP,PDIP
2,Banyuurip,43692,84943.75,32,23.103,Sedang,23.13,Sedang,5.31,Sedang,5.461538462,Tinggi,Sangat Rendah,Sangat Rendah,Sangat Rendah,Sangat Rendah,58,46.55,27.59,1.72,1.72,22.41,24.138,8.621,20.69,22.414,1.724,12.069,1.724,46.55,24.138,GP,PDIP,46.15384615,28.84615385,1.923076923,1.923076923,21.15384615,23.07692308,9.615384615,21.15384615,21.15384615,1.923076923,13.46153846,0,46.15384615,23.07692308,GP,PDIP
3,Bayan,53114,32261.25,24,24.271,Sedang,24.33,Sedang,6.08,Tinggi,6.086956522,Tinggi,Sedang,Sedang,Tinggi,Sedang,48,41.67,25,0,0,33.33,27.083,12.5,16.667,16.667,2.083,12.5,8.333,41.67,27.083,GP,PDIP,39.13043478,26.08695652,0,0,34.7826087,23.91304348,13.04347826,17.39130435,17.39130435,2.173913043,13.04347826,8.695652174,39.13043478,23.91304348,GP,PDIP
4,Bener,59283,17984.08,153,24.946,Sedang,24.94,Sedang,5.92,Tinggi,6.028571429,Tinggi,Tinggi,Tinggi,Sedang,Sedang,37,45.95,18.92,2.7,2.7,29.73,40.541,13.514,21.622,16.216,8.108,8.108,5.405,45.95,40.541,GP,PDIP,45.71428571,20,2.857142857,2.857142857,28.57142857,25.71428571,14.28571429,17.14285714,14.28571429,8.571428571,2.857142857,5.714285714,45.71428571,25.71428571,GP,PDIP
5,Bruno,55723,9813.81,205,24.364,Sedang,24.44,Sedang,6,Tinggi,6.09375,Tinggi,Sedang,Sedang,Tinggi,Sedang,33,27.27,36.36,3.03,0,33.33,45.455,15.152,9.091,21.212,6.061,12.121,6.061,36.36,45.455,PS,PDIP,25,37.5,3.125,0,34.375,31.25,15.625,3.125,18.75,6.25,6.25,6.25,37.5,31.25,PS,PDIP
6,Butuh,43710,38304.45,13,24.373,Sedang,24.56,Sedang,5.88,Tinggi,6,Tinggi,Sedang,Sedang,Sedang,Sedang,59,32.2,22.03,6.78,5.08,33.9,35.593,3.39,30.508,11.864,5.085,6.78,0,33.9,35.593,NA,PDIP,34.61538462,23.07692308,7.692307692,3.846153846,30.76923077,38.46153846,0,28.84615385,11.53846154,5.769230769,7.692307692,0,34.61538462,38.46153846,GP,PDIP
7,Gebang,44800,16918.35,49,24.489,Sedang,24.6,Sedang,6.2,Tinggi,6.325,Tinggi,Sedang,Sedang,Sangat Tinggi,Tinggi,45,46.67,26.67,0,2.22,24.44,31.111,17.778,13.333,11.111,6.667,6.667,2.222,46.67,31.111,GP,PDIP,45,27.5,0,2.5,25,27.5,17.5,12.5,12.5,7.5,7.5,2.5,45,27.5,GP,PDIP
8,Grabag,51232,25718.36,16,25.808,Tinggi,25.69,Tinggi,6.31,Tinggi,6.192307692,Tinggi,Sangat Tinggi,Sangat Tinggi,Sangat Tinggi,Tinggi,26,42.31,23.08,0,11.54,23.08,50,3.846,19.231,11.538,0,3.846,0,42.31,50,GP,PDIP,42.30769231,23.07692308,0,11.53846154,23.07692308,50,3.846153846,19.23076923,11.53846154,0,3.846153846,0,42.30769231,50,GP,PDIP
9,Kaligesing,32815,8721.17,140,23.842,Sedang,24.22,Sedang,5.74,Tinggi,5.888888889,Tinggi,Sedang,Sedang,Sedang,Rendah,19,36.84,36.84,0,5.26,21.05,47.368,15.789,5.263,15.789,0,10.526,5.263,36.84,47.368,GP,PDIP,33.33333333,38.88888889,0,5.555555556,22.22222222,44.44444444,16.66666667,5.555555556,16.66666667,0,11.11111111,5.555555556,38.88888889,44.44444444,PS,PDIP
10,Kemiri,60806,30440.72,21,25.525,Tinggi,25.75,Tinggi,6.35,Tinggi,6.563380282,Tinggi,Sangat Tinggi,Sangat Tinggi,Sangat Tinggi,Sangat Tinggi,80,17.5,38.75,2.5,0,41.25,33.75,11.25,15,12.5,12.5,7.5,1.25,41.25,33.75,NA,PDIP,16.90140845,38.02816901,1.408450704,0,43.66197183,33.8028169,9.85915493,15.49295775,12.67605634,12.67605634,7.042253521,1.408450704,43.66197183,33.8028169,NA,PDIP
11,Kutoarjo,62952,41142.82,2,24.773,Sedang,24.93,Sedang,6.27,Tinggi,6.482758621,Tinggi,Tinggi,Tinggi,Sangat Tinggi,Sangat Tinggi,66,30.3,21.21,1.52,6.06,40.91,34.848,6.061,22.727,9.091,4.545,15.152,1.515,40.91,34.848,NA,PDIP,32.75862069,18.96551724,1.724137931,5.172413793,41.37931034,32.75862069,6.896551724,25.86206897,8.620689655,5.172413793,13.79310345,1.724137931,41.37931034,32.75862069,NA,PDIP
12,Loano,39492,17055.19,213,24.119,Sedang,24.67,Sedang,5.9,Tinggi,6.212121212,Tinggi,Sedang,Sedang,Sedang,Tinggi,42,47.62,19.05,0,2.38,30.95,50,9.524,16.667,14.286,2.381,7.143,0,47.62,50,GP,PDIP,48.48484848,24.24242424,0,0,27.27272727,45.45454545,6.060606061,15.15151515,3.03030303,3.03030303,6.060606061,0,48.48484848,45.45454545,GP,PDIP
13,Ngombol,36173,35878.41,20,24.174,Sedang,24.39,Sedang,5.5,Tinggi,5.903225806,Tinggi,Sedang,Sedang,Sangat Rendah,Rendah,46,56.52,23.91,0,2.17,17.39,26.087,8.696,26.087,13.043,4.348,6.522,6.522,56.52,26.087,GP,PDIP,51.61290323,32.25806452,0,3.225806452,12.90322581,25.80645161,12.90322581,29.03225806,9.677419355,6.451612903,6.451612903,0,51.61290323,29.03225806,GP,DEM
14,Pituruh,54544,42012.18,18,24.288,Sedang,25.02,Tinggi,5.99,Tinggi,6.617021277,Tinggi,Tinggi,Tinggi,Tinggi,Sangat Tinggi,73,28.77,21.92,2.74,1.37,45.21,43.836,9.589,12.329,4.11,6.849,19.178,2.74,45.21,43.836,NA,PDIP,21.27659574,27.65957447,4.255319149,2.127659574,44.68085106,44.68085106,12.76595745,12.76595745,2.127659574,8.510638298,14.89361702,4.255319149,44.68085106,44.68085106,NA,PDIP
15,Purwodadi,42359,29860.3,12,23.635,Sedang,23.98,Sedang,5.65,Tinggi,6.107692308,Tinggi,Rendah,Rendah,Rendah,Sedang,96,52.08,20.83,0,2.08,25,34.375,11.458,15.625,10.417,4.167,19.792,1.042,52.08,34.375,GP,PDIP,41.53846154,27.69230769,0,3.076923077,27.69230769,30.76923077,12.30769231,15.38461538,10.76923077,6.153846154,16.92307692,1.538461538,41.53846154,30.76923077,GP,PDIP
16,Purworejo,88108,45383.98,77,24.076,Sedang,24.53,Sedang,6.06,Tinggi,6.290909091,Tinggi,Sedang,Sedang,Tinggi,Tinggi,66,46.97,25.76,4.55,4.55,18.18,42.424,12.121,15.152,9.091,4.545,7.576,6.061,46.97,42.424,GP,PDIP,45.45454545,25.45454545,5.454545455,5.454545455,18.18181818,45.45454545,14.54545455,14.54545455,9.090909091,3.636363636,5.454545455,3.636363636,45.45454545,45.45454545,GP,PDIP
